Age,Ht,TailLn,HairLn,BangLn,Reach,EarLobes,ClassName,ClassID
39.3,154.6,12.8,10.3,5.3,159.2,1,Assam,-1
54.9,154.8,13.6,9.4,6.7,159.8,1,Assam,-1
26.2,155.9,7.8,6.2,7.0,161.1,0,Bhuttan,+1
51.5,158.3,11.5,9.0,5.8,163.1,1,Assam,-1
44.8,135.4,8.4,10.9,5.7,140.9,0,Assam,-1
41.8,140.9,6.8,6.9,5.6,146.0,0,Bhuttan,+1
46.6,141.1,4.1,10.3,8.2,146.6,1,Bhuttan,+1
31.0,127.1,7.1,11.5,5.2,133.0,1,Bhuttan,+1
40.6,147.9,3.6,10.8,3.5,153.1,0,Assam,-1
39.0,132.7,18.5,10.9,7.9,138.0,1,Bhuttan,+1
52.2,141.8,7.2,9.8,8.0,147.4,1,Bhuttan,+1
37.5,154.0,8.7,14.3,9.8,159.6,0,Bhuttan,+1
43.3,145.1,6.1,7.1,3.5,149.7,0,Assam,-1
52.0,136.5,13.6,10.2,5.0,141.9,1,Assam,-1
50.8,131.3,17.6,8.8,5.4,135.8,1,Assam,-1
63.4,148.6,6.8,6.5,7.6,154.2,0,Bhuttan,+1
31.6,155.3,9.0,7.9,5.2,160.3,0,Assam,-1
48.4,143.1,10.2,10.7,7.1,148.4,1,Bhuttan,+1
55.0,159.7,10.3,6.5,4.6,164.4,1,Assam,-1
45.3,137.7,8.4,6.3,8.1,143.0,1,Bhuttan,+1
49.4,152.6,12.0,9.6,3.4,157.2,1,Assam,-1
45.3,141.5,11.0,7.6,5.4,146.9,1,Assam,-1
26.1,153.7,23.0,6.7,4.6,158.7,1,Assam,-1
47.1,151.0,11.9,9.4,7.9,156.3,1,Bhuttan,+1
35.6,153.2,8.4,9.5,5.4,159.0,0,Bhuttan,+1
26.4,136.9,16.7,11.1,7.0,142.6,0,Bhuttan,+1
37.9,165.5,16.6,9.1,4.9,170.7,1,Assam,-1
39.8,137.4,14.8,7.3,5.1,142.0,1,Assam,-1
55.8,141.0,13.8,9.6,4.7,145.6,1,Assam,-1
55.7,168.8,17.9,6.6,5.3,174.2,1,Assam,-1
44.1,177.2,13.4,7.5,4.5,181.8,1,Assam,-1
57.9,155.7,7.1,9.9,3.5,161.1,1,Assam,-1
30.3,150.8,12.2,10.6,6.6,156.6,0,Bhuttan,+1
48.7,146.4,7.9,9.5,5.0,151.9,1,Bhuttan,+1
53.3,158.0,10.5,7.5,4.4,163.3,1,Assam,-1
48.9,155.1,8.6,7.6,6.0,159.9,1,Assam,-1
62.1,146.1,15.2,8.9,5.5,151.4,0,Assam,-1
40.4,122.9,8.2,10.8,5.9,127.9,1,Bhuttan,+1
45.1,147.5,12.3,7.0,2.3,152.1,0,Assam,-1
44.4,144.6,11.4,12.9,8.0,150.4,0,Assam,-1
55.4,158.4,11.5,5.7,3.5,163.2,1,Assam,-1
43.9,138.6,10.3,9.3,7.2,143.8,1,Bhuttan,+1
48.7,160.1,15.3,10.1,7.3,165.6,1,Bhuttan,+1
48.4,147.1,9.9,8.8,7.0,151.8,1,Assam,-1
36.7,153.9,15.6,10.5,6.6,158.6,1,Assam,-1
36.8,131.0,16.9,11.4,8.1,136.6,0,Bhuttan,+1
28.9,135.6,6.4,9.0,6.5,140.6,0,Bhuttan,+1
50.6,160.7,11.6,7.1,5.8,166.1,1,Assam,-1
40.2,152.7,10.1,11.7,8.3,158.0,1,Bhuttan,+1
42.4,149.6,9.5,12.4,7.3,154.9,1,Bhuttan,+1
42.2,141.2,16.7,9.2,5.0,146.6,1,Assam,-1
33.5,132.7,13.3,7.6,7.4,137.9,1,Assam,-1
50.7,136.5,10.6,7.7,6.8,141.9,1,Bhuttan,+1
64.0,154.4,17.3,8.7,7.0,159.6,1,Assam,-1
40.5,154.1,19.0,8.0,4.5,158.7,1,Assam,-1
36.1,129.4,10.9,8.9,4.8,134.6,0,Assam,-1
43.4,141.0,8.3,9.2,4.5,146.4,1,Assam,-1
31.4,154.3,12.8,8.8,7.6,159.9,0,Bhuttan,+1
56.4,162.7,12.5,7.8,3.9,167.5,0,Assam,-1
40.7,163.2,10.7,8.3,3.3,168.2,1,Assam,-1
39.3,123.1,17.1,9.8,3.6,128.2,1,Assam,-1
50.0,154.5,13.9,9.1,6.3,160.4,1,Bhuttan,+1
40.8,131.1,12.0,12.5,5.6,136.5,1,Bhuttan,+1
36.6,149.6,4.5,4.8,7.2,154.7,1,Bhuttan,+1
31.8,154.8,11.9,9.7,6.1,160.5,1,Bhuttan,+1
42.0,150.0,9.3,7.9,6.2,155.2,1,Assam,-1
33.9,155.2,14.2,12.0,7.6,160.3,1,Bhuttan,+1
61.6,138.7,6.4,9.3,7.5,144.3,1,Bhuttan,+1
46.0,151.9,10.5,7.6,4.6,157.4,1,Assam,-1
38.6,143.2,7.2,13.3,5.0,148.8,1,Bhuttan,+1
34.0,145.2,17.9,11.1,5.0,150.7,1,Bhuttan,+1
40.1,124.7,5.1,8.6,7.4,130.0,1,Bhuttan,+1
30.9,130.4,5.2,7.3,6.4,135.6,1,Bhuttan,+1
43.3,136.1,15.3,7.4,5.2,140.8,0,Assam,-1
27.4,144.3,16.6,5.8,6.5,150.3,1,Bhuttan,+1
60.5,120.6,12.5,6.3,6.4,125.7,1,Assam,-1
46.1,147.6,5.1,9.9,6.7,153.1,1,Bhuttan,+1
44.1,154.8,10.9,8.8,7.7,160.1,0,Bhuttan,+1
46.7,144.4,2.6,6.0,9.0,149.8,0,Bhuttan,+1
57.7,126.6,7.7,6.9,6.6,131.4,1,Assam,-1
41.0,133.0,12.1,7.5,6.1,139.0,1,Bhuttan,+1
53.2,155.5,15.0,9.4,6.8,160.8,0,Assam,-1
39.5,131.5,9.4,11.5,7.4,137.2,1,Bhuttan,+1
44.0,146.3,11.2,9.4,3.5,151.7,1,Assam,-1
35.4,134.5,6.9,9.2,6.3,139.6,1,Bhuttan,+1
45.2,143.5,13.9,9.1,7.8,148.6,0,Bhuttan,+1
36.7,151.6,12.2,12.1,6.7,157.0,1,Bhuttan,+1
39.9,121.8,21.6,12.2,6.8,127.6,1,Bhuttan,+1
44.4,140.4,13.2,8.3,5.2,145.8,0,Assam,-1
42.3,125.4,4.0,7.7,8.0,130.8,1,Bhuttan,+1
42.0,154.8,7.0,7.5,5.8,160.1,1,Bhuttan,+1
55.0,144.4,9.4,6.2,3.2,149.8,1,Assam,-1
39.7,138.9,11.6,10.2,6.5,144.2,0,Bhuttan,+1
51.1,144.6,9.9,10.1,4.2,149.8,1,Assam,-1
31.5,121.7,12.7,10.9,7.3,127.6,1,Bhuttan,+1
47.5,166.9,12.4,6.0,4.3,171.6,0,Assam,-1
47.1,157.9,12.5,6.8,6.0,163.4,1,Assam,-1
37.9,143.5,4.8,7.8,6.5,148.6,1,Bhuttan,+1
48.4,142.4,14.2,8.5,5.6,146.9,0,Assam,-1
60.8,140.6,12.1,5.4,5.4,146.1,1,Assam,-1
35.2,150.7,12.8,6.6,5.2,155.5,0,Assam,-1
38.1,152.1,15.4,6.9,4.0,156.9,1,Assam,-1
41.7,152.3,12.0,7.9,4.3,157.8,1,Assam,-1
49.1,133.2,9.9,10.0,7.3,139.0,1,Bhuttan,+1
48.5,166.3,4.0,8.2,5.2,171.3,1,Assam,-1
29.1,152.6,15.5,5.7,8.8,158.0,1,Bhuttan,+1
48.9,142.5,7.9,9.4,7.3,148.0,1,Bhuttan,+1
25.2,146.7,12.9,13.9,7.2,152.7,0,Bhuttan,+1
52.0,137.2,5.1,9.4,4.8,142.5,0,Assam,-1
46.5,151.6,7.8,6.6,7.1,156.2,0,Assam,-1
42.2,144.7,8.1,12.4,5.9,149.9,1,Bhuttan,+1
46.7,117.9,8.4,8.9,5.4,123.3,1,Assam,-1
51.6,128.2,12.1,5.7,7.2,133.1,1,Assam,-1
43.2,148.0,3.0,10.3,7.1,154.0,1,Bhuttan,+1
36.3,134.2,8.3,6.7,7.3,139.2,1,Bhuttan,+1
53.1,132.1,8.1,7.4,4.7,136.7,0,Assam,-1
60.0,133.2,14.7,9.8,5.6,138.4,1,Assam,-1
45.7,161.4,10.9,8.3,5.0,166.6,1,Assam,-1
47.5,145.2,10.4,8.7,5.8,150.4,1,Bhuttan,+1
36.8,131.1,3.0,11.8,5.2,137.0,1,Bhuttan,+1
66.6,119.7,8.5,7.7,4.9,125.1,0,Assam,-1
41.5,138.8,4.1,8.8,5.4,143.8,1,Bhuttan,+1
52.4,115.8,7.6,7.7,8.0,121.4,1,Bhuttan,+1
36.5,139.8,11.0,11.6,7.7,145.1,1,Bhuttan,+1
53.2,151.1,15.1,9.1,7.4,157.0,1,Bhuttan,+1
42.7,158.3,8.4,9.0,7.2,164.2,0,Bhuttan,+1
42.4,162.3,11.1,6.1,5.1,167.4,1,Assam,-1
35.5,162.2,17.0,8.8,6.6,167.5,1,Assam,-1
54.0,141.2,8.8,6.9,4.6,145.7,0,Assam,-1
62.4,147.0,18.8,8.0,3.8,152.1,1,Assam,-1
49.0,131.7,12.6,2.8,2.9,136.2,1,Assam,-1
25.7,135.7,14.2,8.4,6.8,141.3,1,Bhuttan,+1
39.9,149.6,18.2,8.3,5.6,154.9,1,Assam,-1
63.9,145.3,14.8,7.2,3.5,150.2,1,Assam,-1
65.8,128.9,14.5,9.0,4.2,134.3,0,Assam,-1
44.9,155.1,11.0,9.2,5.9,160.3,1,Assam,-1
50.5,159.7,10.6,8.5,5.0,164.6,0,Assam,-1
47.1,131.5,9.3,9.6,4.9,136.3,1,Assam,-1
37.8,131.1,12.4,6.6,7.4,136.6,1,Bhuttan,+1
46.7,124.1,10.3,7.1,5.5,129.3,1,Assam,-1
44.0,151.4,9.5,9.4,5.2,156.7,1,Assam,-1
37.6,141.7,10.5,7.6,6.7,147.2,1,Bhuttan,+1
46.8,156.9,12.1,8.9,4.4,161.4,1,Assam,-1
58.7,134.8,7.9,11.9,6.0,140.0,0,Bhuttan,+1
50.0,127.5,6.0,8.1,5.6,132.3,1,Assam,-1
51.0,148.4,12.2,9.0,7.9,154.2,1,Bhuttan,+1
37.2,164.1,2.9,9.7,6.5,169.7,1,Bhuttan,+1
45.5,131.4,4.4,11.5,7.2,137.3,1,Bhuttan,+1
56.0,129.4,16.8,9.8,4.1,134.3,1,Bhuttan,+1
35.8,151.8,6.1,10.2,6.2,157.1,1,Bhuttan,+1
62.9,157.0,13.9,9.1,4.6,161.7,0,Assam,-1
59.7,155.5,9.4,6.1,4.6,160.8,1,Assam,-1
45.2,124.8,11.9,5.6,4.0,130.2,0,Assam,-1
47.3,155.6,14.1,8.4,3.7,161.0,0,Assam,-1
43.0,126.6,8.9,7.9,4.4,132.1,0,Assam,-1
44.5,143.6,9.6,10.8,8.6,148.9,1,Bhuttan,+1
65.9,180.3,10.8,7.9,5.8,185.4,0,Assam,-1
37.9,137.4,7.1,9.5,6.3,142.2,0,Assam,-1
37.6,137.6,15.3,7.0,5.6,142.3,0,Assam,-1
31.3,148.9,13.8,10.1,8.4,154.0,0,Bhuttan,+1
36.1,159.5,15.9,10.4,6.2,165.2,1,Bhuttan,+1
39.4,146.4,6.2,14.1,5.4,152.0,1,Bhuttan,+1
52.2,138.5,13.6,9.9,4.9,143.2,0,Assam,-1
44.6,140.3,8.5,11.2,7.7,145.7,1,Bhuttan,+1
31.8,140.5,12.6,6.1,6.1,146.0,0,Bhuttan,+1
48.7,121.1,9.7,9.7,6.3,126.8,1,Bhuttan,+1
41.9,144.1,7.5,10.2,5.6,149.6,1,Bhuttan,+1
42.6,140.8,3.7,10.5,7.2,146.2,1,Assam,-1
49.2,159.2,10.9,7.5,7.7,165.1,1,Bhuttan,+1
75.8,163.8,13.0,9.2,5.4,169.0,0,Assam,-1
31.3,137.9,10.9,10.4,6.4,142.9,1,Bhuttan,+1
51.7,134.6,11.8,6.8,4.2,139.9,1,Assam,-1
46.6,141.7,12.5,13.6,8.1,147.0,1,Bhuttan,+1
51.0,137.3,9.4,7.6,6.0,142.0,0,Assam,-1
61.4,153.2,13.9,7.2,4.0,158.4,1,Assam,-1
39.0,138.2,13.4,10.3,8.1,143.8,1,Bhuttan,+1
44.0,122.3,5.1,10.5,6.5,128.2,1,Bhuttan,+1
31.3,154.9,9.2,8.5,3.9,160.4,1,Assam,-1
30.2,161.5,9.0,8.5,7.5,167.2,1,Bhuttan,+1
54.0,130.9,14.4,10.7,4.8,135.8,1,Assam,-1
35.1,155.1,6.3,9.3,7.0,160.7,1,Bhuttan,+1
47.9,150.1,10.5,8.7,6.1,155.2,0,Assam,-1
38.9,151.1,8.1,9.4,6.6,157.1,1,Bhuttan,+1
51.0,142.2,14.4,5.3,7.9,147.3,0,Bhuttan,+1
48.6,152.3,9.2,7.2,6.7,158.1,1,Bhuttan,+1
44.0,112.6,16.1,9.4,3.4,117.5,1,Assam,-1
51.2,134.0,12.9,7.6,3.8,139.0,0,Assam,-1
39.9,140.8,18.3,9.1,4.2,145.8,0,Assam,-1
44.1,150.4,8.6,11.7,7.2,156.3,1,Bhuttan,+1
64.6,132.6,10.6,8.2,5.1,137.8,0,Assam,-1
51.2,136.8,11.7,6.5,4.3,141.3,1,Assam,-1
38.6,136.9,7.2,6.9,7.4,142.5,1,Bhuttan,+1
58.4,169.8,10.1,7.2,5.3,174.4,1,Assam,-1
43.7,143.0,5.5,7.9,9.7,148.6,1,Bhuttan,+1
25.7,155.3,9.3,9.0,6.3,161.1,1,Bhuttan,+1
44.4,141.2,11.3,11.2,5.7,147.0,1,Bhuttan,+1
39.9,147.6,5.9,7.8,4.0,153.1,0,Assam,-1
41.8,159.8,11.4,6.3,6.0,164.5,0,Assam,-1
44.7,136.7,9.2,12.2,6.5,141.9,1,Bhuttan,+1
53.8,141.6,9.8,9.9,6.9,147.5,0,Bhuttan,+1
43.1,150.3,8.4,11.4,6.1,155.8,1,Bhuttan,+1
36.8,126.4,6.2,13.4,6.0,132.1,1,Bhuttan,+1
51.4,138.1,13.4,8.1,4.8,143.4,1,Assam,-1
50.8,147.4,9.0,8.7,4.2,152.0,0,Assam,-1
47.2,137.5,8.2,6.5,6.0,142.9,0,Assam,-1
54.8,154.8,6.6,8.9,4.2,159.8,1,Assam,-1
38.3,148.3,19.0,7.4,4.6,153.0,0,Assam,-1
54.9,162.6,16.4,7.1,4.5,167.6,0,Assam,-1
44.2,128.8,12.9,6.2,6.4,133.8,1,Assam,-1
37.6,126.6,7.1,11.4,6.1,132.0,0,Bhuttan,+1
46.9,139.5,12.4,4.9,5.9,144.8,1,Assam,-1
26.9,137.5,10.8,10.7,5.3,142.6,1,Assam,-1
22.0,133.2,10.7,4.0,3.6,138.1,0,Assam,-1
53.4,145.5,8.1,8.8,7.1,150.6,0,Bhuttan,+1
65.7,139.4,12.9,7.8,6.4,144.8,0,Assam,-1
55.6,117.1,5.7,5.7,4.4,122.2,0,Assam,-1
31.3,165.8,8.0,13.0,5.8,171.0,1,Bhuttan,+1
45.0,155.3,8.1,10.1,7.2,160.6,1,Assam,-1
41.3,122.0,11.6,8.6,5.3,127.2,1,Assam,-1
46.4,134.9,6.6,8.0,4.2,140.4,1,Assam,-1
51.1,140.6,9.8,11.1,3.8,145.1,0,Assam,-1
31.0,131.3,6.9,11.3,5.6,137.1,1,Bhuttan,+1
42.4,135.9,11.2,7.0,5.5,140.6,1,Assam,-1
26.5,154.3,5.7,11.1,9.0,160.3,1,Bhuttan,+1
26.8,141.2,11.3,9.4,4.0,146.4,1,Assam,-1
47.8,117.5,10.3,9.7,6.5,123.4,1,Bhuttan,+1
40.1,149.9,12.8,9.6,6.3,155.3,1,Assam,-1
33.4,149.5,6.3,11.1,5.7,154.7,1,Bhuttan,+1
47.4,132.0,8.8,9.8,4.5,137.0,0,Assam,-1
39.3,134.5,18.9,10.0,7.6,140.2,1,Bhuttan,+1
43.4,143.5,11.7,8.6,7.6,149.1,1,Bhuttan,+1
50.0,189.4,12.2,8.8,4.9,194.2,1,Assam,-1
27.7,132.2,8.7,10.5,6.9,138.1,1,Bhuttan,+1
74.3,127.0,11.0,6.0,5.2,132.0,1,Assam,-1
40.7,143.0,8.8,11.0,5.4,148.4,1,Bhuttan,+1
48.7,128.2,15.6,10.7,8.0,133.8,1,Bhuttan,+1
34.1,163.1,11.6,9.2,5.1,168.2,0,Assam,-1
31.4,153.0,15.6,9.9,3.6,157.9,1,Assam,-1
39.2,140.0,10.0,7.4,5.9,145.2,1,Assam,-1
43.1,133.9,8.2,13.1,7.1,139.1,1,Bhuttan,+1
65.2,160.5,8.3,8.5,4.3,165.1,0,Assam,-1
36.6,138.2,15.7,7.4,7.5,144.0,1,Bhuttan,+1
38.3,120.6,18.2,8.6,7.5,125.2,0,Assam,-1
50.5,138.7,12.9,6.9,7.4,144.5,1,Bhuttan,+1
34.7,143.6,11.8,8.1,7.3,149.4,1,Bhuttan,+1
56.4,134.1,12.3,10.5,4.9,138.9,1,Assam,-1
46.1,158.9,12.6,8.4,6.0,163.7,0,Assam,-1
41.5,117.3,7.4,10.3,7.0,122.3,0,Bhuttan,+1
43.4,135.4,12.7,8.9,5.5,140.1,1,Assam,-1
40.8,158.1,9.5,7.3,3.3,163.6,1,Assam,-1
33.2,150.1,7.5,9.9,9.0,156.0,1,Bhuttan,+1
48.7,136.1,6.9,7.4,4.3,141.3,0,Assam,-1
48.6,134.6,1.8,11.1,8.5,139.7,1,Bhuttan,+1
36.5,134.2,10.8,8.8,5.0,139.4,1,Assam,-1
39.4,133.7,7.1,10.2,5.2,138.9,1,Bhuttan,+1
43.1,140.0,7.2,11.7,7.3,145.1,1,Bhuttan,+1
46.6,159.6,17.9,12.0,6.2,165.2,1,Bhuttan,+1
58.1,136.0,14.3,4.5,5.0,141.2,1,Assam,-1
36.5,135.6,8.8,11.0,8.4,140.6,1,Bhuttan,+1
39.7,150.2,19.9,14.4,5.2,156.1,1,Bhuttan,+1
59.5,152.5,8.2,5.2,4.6,157.1,0,Assam,-1
33.3,141.4,12.9,8.5,6.2,146.8,1,Bhuttan,+1
53.4,142.2,12.9,7.3,7.4,147.6,1,Bhuttan,+1
42.8,148.1,12.9,12.1,8.8,153.9,1,Bhuttan,+1
37.4,117.1,12.6,6.1,6.0,122.0,1,Assam,-1
47.4,142.1,12.7,10.1,5.8,146.8,0,Assam,-1
47.5,120.0,14.8,9.9,6.3,125.7,1,Bhuttan,+1
28.5,146.1,5.7,8.9,6.7,151.6,1,Bhuttan,+1
37.9,128.4,13.6,9.5,6.6,133.5,1,Bhuttan,+1
43.0,137.3,14.5,8.8,5.7,142.2,1,Assam,-1
37.5,137.3,5.3,8.7,7.1,142.5,1,Bhuttan,+1
34.1,150.5,7.9,10.6,7.5,155.8,1,Bhuttan,+1
57.4,145.4,10.5,7.3,5.9,150.7,1,Assam,-1
65.5,149.9,8.3,8.2,5.4,154.5,0,Assam,-1
53.3,155.2,11.6,11.0,7.8,160.5,0,Bhuttan,+1
45.2,145.3,13.7,4.8,8.9,150.8,1,Bhuttan,+1
47.4,153.9,8.4,6.2,5.0,159.2,1,Assam,-1
28.1,158.2,11.2,8.2,6.7,163.7,1,Bhuttan,+1
49.0,161.9,15.8,6.9,3.9,167.2,1,Assam,-1
49.0,145.1,14.0,10.4,5.2,150.4,1,Assam,-1
46.4,135.7,11.9,6.9,8.4,141.2,1,Bhuttan,+1
50.8,168.7,7.8,8.1,6.6,174.3,1,Bhuttan,+1
49.7,137.3,14.6,5.9,2.5,142.0,0,Assam,-1
47.0,153.5,14.4,9.7,5.2,158.4,0,Assam,-1
39.0,130.5,12.1,8.6,6.2,135.8,1,Assam,-1
63.2,121.8,11.5,8.8,5.6,127.1,0,Assam,-1
45.6,145.8,14.1,6.4,5.0,150.6,1,Assam,-1
44.4,130.9,14.3,8.7,4.2,135.6,0,Assam,-1
38.4,154.5,9.7,8.2,7.4,160.4,0,Bhuttan,+1
52.3,153.6,15.1,9.1,4.9,158.6,0,Assam,-1
31.7,133.9,8.0,6.5,5.2,138.5,1,Assam,-1
42.2,129.5,17.0,10.8,6.5,135.0,1,Bhuttan,+1
39.8,145.7,9.4,8.0,5.6,150.7,0,Assam,-1
46.6,148.3,14.1,7.2,6.2,153.1,0,Assam,-1
39.9,135.7,3.9,9.9,6.9,141.2,1,Bhuttan,+1
37.0,135.7,15.8,8.6,7.0,141.0,1,Bhuttan,+1
39.3,152.5,9.3,6.5,5.4,157.9,1,Assam,-1
39.2,140.0,6.8,10.1,8.5,145.4,0,Bhuttan,+1
44.1,145.3,12.4,10.8,5.7,150.9,1,Bhuttan,+1
50.6,145.4,15.5,3.8,5.6,150.1,1,Assam,-1
28.7,125.7,10.1,7.7,5.3,130.7,1,Assam,-1
40.4,156.0,7.9,9.4,3.3,160.5,1,Assam,-1
50.0,136.4,11.9,8.1,6.1,141.2,0,Assam,-1
47.7,141.8,5.4,10.4,6.6,147.4,1,Bhuttan,+1
40.6,151.6,18.2,11.7,6.3,157.0,0,Bhuttan,+1
42.4,143.3,16.5,8.0,4.0,148.0,1,Assam,-1
43.6,147.4,8.1,9.7,9.7,153.0,1,Bhuttan,+1
39.7,131.4,15.3,7.5,5.8,136.8,0,Assam,-1
41.3,149.4,15.0,9.8,5.7,155.3,0,Bhuttan,+1
50.0,138.7,8.4,12.3,6.5,143.9,1,Bhuttan,+1
26.3,120.7,12.4,9.3,7.2,126.1,0,Bhuttan,+1
45.4,162.6,16.5,13.0,7.7,167.6,0,Bhuttan,+1
43.5,130.6,13.5,6.7,6.3,136.2,1,Bhuttan,+1
36.1,154.0,7.1,9.0,6.4,159.6,0,Bhuttan,+1
66.0,151.4,13.2,8.8,5.5,156.9,1,Assam,-1
49.6,132.7,9.5,6.2,5.0,137.2,0,Assam,-1
48.3,137.0,11.9,15.0,7.0,142.1,1,Bhuttan,+1
65.4,137.9,9.7,9.2,5.1,142.8,1,Assam,-1
43.7,154.7,11.7,8.1,6.4,160.4,1,Bhuttan,+1
42.6,137.3,9.9,9.5,4.6,141.9,1,Assam,-1
61.9,155.0,8.6,9.4,4.2,159.7,1,Assam,-1
49.3,130.6,11.7,7.7,7.3,136.1,0,Bhuttan,+1
45.7,150.6,11.9,7.2,5.1,156.1,1,Assam,-1
48.1,129.3,11.0,11.4,6.8,134.4,1,Bhuttan,+1
28.4,150.9,12.7,9.0,5.4,156.6,1,Bhuttan,+1
59.3,110.2,8.3,8.2,4.7,114.8,1,Assam,-1
55.3,158.1,16.5,6.5,4.0,163.3,0,Assam,-1
25.2,124.9,13.1,8.9,7.0,130.9,1,Bhuttan,+1
35.3,153.6,15.5,8.2,7.7,159.4,1,Bhuttan,+1
47.5,142.7,14.3,7.5,3.0,147.6,0,Assam,-1
51.8,148.1,15.0,6.5,5.3,153.1,1,Assam,-1
34.4,140.6,12.2,9.6,8.3,146.5,1,Bhuttan,+1
39.8,152.8,9.9,10.1,5.4,157.3,1,Assam,-1
50.7,147.2,14.0,6.2,4.1,151.8,1,Assam,-1
44.5,144.5,8.5,8.0,7.9,149.7,1,Bhuttan,+1
51.9,146.1,14.1,8.1,3.4,151.2,0,Assam,-1
43.3,142.0,9.7,6.3,8.4,147.1,1,Bhuttan,+1
41.4,138.0,9.8,10.7,7.8,143.1,0,Bhuttan,+1
41.4,154.5,16.3,7.7,5.3,159.4,1,Assam,-1
28.1,152.9,18.5,6.1,4.6,157.8,1,Assam,-1
52.1,136.5,7.4,8.9,8.6,142.5,1,Bhuttan,+1
53.4,125.4,6.8,8.9,7.1,131.0,1,Bhuttan,+1
51.5,133.5,9.3,10.9,6.1,138.8,0,Bhuttan,+1
57.1,143.7,16.7,8.4,3.9,148.4,1,Assam,-1
48.8,134.9,11.8,6.9,6.8,140.7,1,Bhuttan,+1
55.4,155.3,10.5,9.0,6.2,159.8,1,Assam,-1
59.4,127.2,8.4,10.2,8.1,133.0,1,Bhuttan,+1
26.5,124.3,11.2,15.5,8.3,130.0,1,Bhuttan,+1
44.7,158.8,8.2,10.9,8.0,164.7,1,Bhuttan,+1
53.8,146.0,14.6,11.1,4.3,151.4,1,Assam,-1
42.1,158.7,7.6,8.0,6.3,164.1,1,Assam,-1
53.7,135.9,10.6,8.0,5.8,141.4,0,Assam,-1
50.5,147.1,4.8,9.4,6.0,152.5,1,Bhuttan,+1
66.3,144.3,13.1,9.4,5.9,149.7,1,Bhuttan,+1
55.4,168.5,12.1,7.3,4.9,173.4,1,Assam,-1
45.5,123.4,9.7,13.3,6.7,128.6,1,Bhuttan,+1
63.3,170.8,9.3,7.1,4.7,175.7,0,Bhuttan,+1
26.2,149.6,9.7,8.4,5.9,155.0,1,Assam,-1
41.1,159.1,14.8,9.2,7.4,164.9,1,Bhuttan,+1
50.7,144.4,1.8,8.2,8.6,150.3,1,Bhuttan,+1
35.3,147.5,13.7,12.2,5.5,153.4,1,Bhuttan,+1
48.5,143.2,4.6,8.2,5.3,148.2,0,Assam,-1
56.4,135.4,13.0,7.4,4.9,140.8,1,Assam,-1
42.2,135.2,12.5,8.6,6.2,140.1,1,Assam,-1
38.7,111.3,11.0,12.4,7.4,116.9,1,Bhuttan,+1
